Country,injury_severity,aircraft_damage,aircraft_category,number_of_engines,engine_type,flight_purpose,weather_condition,fatal_injuries,serious_injuries,minor_injuries,uninjured,Year,make_model
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,PIPER J3C-65
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,CESSNA T182T
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2009,MCKENNA JAMES E AVID-CATAL
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2009,MOONEY M20M
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,1.0,0.0,2009,DUSENBERRY MARK J 1905 WRIGHT FLYER
United States,Non-Fatal,Substantial,Airplane,2.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,BUTLER AIRCRAFT COMPANY AEROSTAR
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,1.0,1.0,2009,CESSNA 180
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,2.0,2009,BEECH A36
Malaysia,Non-Fatal,Minor,Airplane,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,149.0,2009,BOEING 737
United States,Non-Fatal,Substantial,Airplane,2.0,Reciprocating,Unknown,VMC,0.0,0.0,0.0,6.0,2009,CESSNA 421B
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,PIPER PA-32R-300
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,4.0,2009,PIPER PA-24-260
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,MATESKON FISHER DAK
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,Malone Henry O Howland
United States,Non-Fatal,Substantial,Airplane,2.0,Reciprocating,Public Aircraft - Local,VMC,0.0,0.0,0.0,1.0,2009,BEECH E18S
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,1.0,0.0,2009,PIPER J3C-65
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,IMC,0.0,1.0,0.0,0.0,2009,CRAWFORD ALAN R GLASAIR II
Mexico,Fatal,Substantial,Airplane,1.0,Reciprocating,Unknown,VMC,2.0,0.0,1.0,0.0,2009,BEECH A36
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,2.0,0.0,0.0,0.0,2009,PIPER PA-24-250
Australia,Non-Fatal,Unknown,Airplane,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,37.0,2009,SAAB 340
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,3.0,1.0,0.0,2009,PIPER PA-28-140
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,IMC,1.0,0.0,0.0,0.0,2009,CASE RICHARD L VAN RV-6
United States,Non-Fatal,Substantial,Airplane,2.0,Reciprocating,Personal,VMC,0.0,0.0,1.0,0.0,2009,Temco D-16A
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,IMC,0.0,0.0,1.0,0.0,2009,Turpen RV-8
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Other Work Use,VMC,0.0,0.0,0.0,4.0,2009,DEHAVILLAND DHC-2
Argentina,Non-Fatal,Unknown,Airplane,2.0,Turbo Fan,Unknown,VMC,0.0,0.0,1.0,231.0,2009,BOEING 767-3P6
United States,Non-Fatal,Substantial,Airplane,2.0,Turbo Prop,Personal,VMC,0.0,0.0,4.0,0.0,2009,BEECH 100
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,REMOS AIRCRAFT GMBH REMOS G-3/
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2009,PIPER PA-12
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,CESSNA U206F
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2009,Cruz SE5A Replica
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,Franklin Pitts Special S-1
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,2.0,1.0,1.0,0.0,2009,CESSNA 150F
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,1.0,0.0,2009,BEECH E35
United States,Non-Fatal,Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,0.0,3.0,0.0,0.0,2009,MOONEY M20C
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Instructional,VMC,0.0,0.0,0.0,3.0,2009,CESSNA 172H
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Instructional,VMC,0.0,0.0,0.0,2.0,2009,Costruzioni Aeronautiche Tecna P2004 Bravo
United States,Non-Fatal,Substantial,Airplane,2.0,Reciprocating,Positioning,VMC,0.0,0.0,0.0,1.0,2009,PIPER PA-31-350
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,IMC,0.0,2.0,1.0,0.0,2009,PIPER PA28
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,CESSNA 180A
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,1.0,0.0,2009,LUSCOMBE 8E
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2009,TAYLORCRAFT BC12-D1
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,CESSNA 182F
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,PIPER PA28
